Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ACCULTURATION ET EDUCATION AU NUMERIQUE;Ville de Grasse;ERIC Centre ville;33 avenue Marcel Journet ;06130;Grasse;Parcours d’initiation à l’informatique ;Tel: 04 93 42 03 27 Mail: eric.centreville@ville-grasse.fr;"• La découverte de l’outil informatique
• L’apprivoisement du vocabulaire spécifique au numérique
• L’adoption d’attitudes responsables en termes de sécurité informatique et protection des données personnelles
• Une sensibilisation aux logiciels Libres
";"Être à l’écoute et s’adapter au public. 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Analyser et identifier des besoins
- Concevoir des séquences pédagogiques
- Encourager la collaboration et favoriser les échanges
• Outils :
- Exercices
- Ressources en ligne
- Création de supports pédagogiques
";"• Activités collectives et stages de loisirs 
• Accompagnement individuel dans certains cas
";Tout public en demande d’apprentissage;
ART, CULTURE ET PATRIMOINE;Ville de Grasse;ERIC Centre ville;33 avenue Marcel Journet ;06130;Grasse;Activités éducatives et culturelles valorisant l’acquisition de culture numérique ;Tel: 04 93 42 03 27 Mail: eric.centreville@ville-grasse.fr;"o Apprentissage de logiciel de dessin, apprentissage de la mise en page textes, photos, dessin (ex : Pixel art)
o Atelier mettant en pratique les compétences basiques de la photographie
o Activités dans le cadre de projet en partenariat avec le centre social Harjès et les acteurs culturels locaux ( ex : atelier TICE l’art avec le musée d’art concret de Mouans sartoux, présentation aux concours de création de vidéo organisé par les Francas sur les droits de l’enfant)
o Eveiller l’intérêt pour l’art photographique, comment faire pour construire une belle image.
o Initiation à la mise en page de document de traitement de texte et présentation de libre office
o Discussions, échanges pour éduquer à un usage responsable des outils numériques  
o La sensibilisation aux risques liés à l’utilisation de l’Internet et des réseaux sociaux 
";"• Méthode : 
Organisation d’atelier sous forme de 6 séances avec une progression dans l’acquisition des compétences numériques
• Technique : 
- Concevoir des séquences pédagogiques
- Encourager la collaboration et favoriser les échanges
• Outils :
- Ressources en ligne prévention : Vinz et Lou, CNIL junior, jeu incollables 
- Outil gratuit de dessin et de gestion des images
- Regard sur le travail photographique de photographes d’art
- Information sur la manière d’acquérir des logiciels libres de droit 
- Qwant Junior
";"• Activités collectives et stages de loisirs (temps périscolaire et vacances) 
• Activité individuelle l’après-midi pendant les vacances scolaires
• Manifestations :Fêtes de quartier, Science Tour Numérique etc. ";• Scolaires, Enfants du quartier où se situe L’ERIC (à partir de 6 ans);
INSERTION ET FORMATIONS PROFESSIONNELLES;Ville de Grasse;ERIC LE PLAN;Le Mas du Collet, 6 avenue Louis Cauvin  ;06130;Grasse;L’emploi et insertion professionnelle;Tel: 04 93 40 77 34 Mail: eric.leplan@ville-grasse.fr;"Mise à disposition d’ordinateurs et d’Internet pour faciliter l’accès à l’emploi. 
- Accompagnement individuel pour l’inscription en ligne sur le site Pôle Emploi
- Création et initiation à l’utilisation de boite mail
- Utilisation du portail Pôle Emploi : 
Mise en ligne du CV, abonnement aux offres d’emploi, télé-candidatures…
- Création de CV et lettre de motivation
- Création compte personnel de formation
- Ateliers mensuels « Utiliser Pôle-emploi.fr » Co-animé avec un conseiller Pôle Emploi
";"• Méthode :
- Être à l’écoute, disponible et s’adapter auxbesoins du public. 
• Technique :
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne spécialisées : pole-emploi.fr, emploi Store, Doyoubuzz, site d’offres d’emploi, réseaux sociaux professionnels… 
";"• Accompagnement individuel 
• Ateliers collectifs en partenariat avec l’agence Pôle Emploi Grasse
• Manifestations :Forum de l’emploi, Bougeons l’Emploi";• Demandeurs d’emploi, bénéficiaires du RSA, étudiants;
ADMINISTRATION EN LIGNE;Ville de Grasse;ERIC LE PLAN;Le Mas du Collet, 6 avenue Louis Cauvin  ;06130;Grasse;Accompagnement individuel dans les démarches administratives via le numérique et l’élaboration de dossier.;Tel: 04 93 40 77 34 Mail: eric.leplan@ville-grasse.fr;"Demande de prestations, d’attestation, actualisation, déclarations de ressources : CAF, Retraite, prime d’activité, CMU, RSA, Impôts, Améli, Cartes grises et immatriculation, était civil,  etc.)
- Expliquer le fonctionnement du site, créer des comptes, des adresses mails, imprimer les dossiers de demande de prestation... 
";"• Méthode : 
- Être à l’écoute, disponible et s’adapter au public afin de répondre au mieux à ses besoins
• Technique : 
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne
";• Accompagnement individuel;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Ville de Grasse;ERIC LE PLAN;Le Mas du Collet, 6 avenue Louis Cauvin  ;06130;Grasse;Parcours d’initiation à l’informatique ;Tel: 04 93 40 77 34 Mail: eric.leplan@ville-grasse.fr;"• La découverte de l’outil informatique
• L’apprivoisement du vocabulaire spécifique au numérique
• L’adoption d’attitudes responsables en termes de sécurité informatique et protection des données personnelles
• Une sensibilisation aux logiciels Libres
";"Être à l’écoute et s’adapter au public. 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Analyser et identifier des besoins
- Concevoir des séquences pédagogiques
- Encourager la collaboration et favoriser les échanges
• Outils :
- Exercices
- Ressources en ligne
- Création de supports pédagogiques
";"• Activités collectives et stages de loisirs 
• Accompagnement individuel dans certains cas
";Tout public en demande d’apprentissage;
ART, CULTURE ET PATRIMOINE;Ville de Grasse;ERIC LE PLAN;Le Mas du Collet, 6 avenue Louis Cauvin  ;06130;Grasse;Activités éducatives et culturelles valorisant l’acquisition de culture numérique ;Tel: 04 93 40 77 34 Mail: eric.leplan@ville-grasse.fr;"Ateliers code ludique et informatique créative avec Scratch 
- Activités « débranchées » : initiation à la notion d’algorithme, séquence de programmation et l’écriture binaire
- Activités créatives  Pixel ‘art
- Éveiller la curiosité autour des sciences : découverte de sites dédiés, universscience.tv et animations pédagogiques « l’aventure des Sépas »
- La sensibilisation aux risques liés à l’utilisation de l’Internet et des réseaux sociaux 
- Utilisation du moteur de recherche Qwant Junior
- Discussions, échanges pour éduquer à un usage responsable des outils numériques  
- Découvrir et jouer à Sonic, Mario, MineCraft etc. à partir de séquences de programmation Scratch réalisées par d’autres et mis en partage (Via site officiel)
";"• Méthode : 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Concevoir des séquences pédagogiques et des fiches d’aide à l’autonomie
- Encourager la collaboration et favoriser les échanges
• Outils :
- Ressources en ligne prévention : Vinz et Lou, CNIL junior, jeu incollables 
- Logiciel Scratch et création de fiches pédagogiques
- Activités débranchées : Création d’un plateau pour Le jeu du robot (Ressource INRIA) - Création de 5 cartes binaires pour l’initiation à l’écriture binaire (Ressource : support pédagogique csunplugged.org)
- Programmation et code ludique : magicmakers.fr – Scratch site officiel – Exercices interactifs sur 1, 2, 3 codez ! et studio.code.org
- Qwant Junior
";"• Activités collectives et stages de loisirs (temps périscolaire et vacances) 
• Activité individuelle
• Manifestations :Fêtes de quartier, Science Tour Numérique etc. ";• Scolaires;
ART, CULTURE ET PATRIMOINE;Ville de Grasse;ERIC LE PLAN;Le Mas du Collet, 6 avenue Louis Cauvin  ;06130;Grasse;Activités multimédia ludiques et créatives  à destination des personnes en situation de handicap psychique ;Tel: 04 93 40 77 34 Mail: eric.leplan@ville-grasse.fr;"Travail avec un logiciel de retouche d’image : compositions artistiques, dessins, coloriages
- Jeux de loisirs et stimulation cognitive (puzzles, memory, jeu d’adresse, écoute de musique, visionnage de photos : vacances, sorties ou autres activités…)
";"• Méthode : 
- Être à l’écoute, disponible et s’adapter aux besoins de chacun. 
- Encourager l’échange 
- Valoriser la réussite
• Outils :
- Logiciel de dessin (Photofiltre)
- Ressources en ligne
- Réalisation ponctuelle de supports/exercices pédagogiques
";• Ateliers collectifs, cependant un accompagnement individuel renforcé est nécessaire dans certain cas. Il s’agit d’un public qui ne lit pas et n’écrit pas.;• Personnes en situation de handicap psychique résidant dans l’une des structures ESAT présente sur le territoire.;
INSERTION ET FORMATIONS PROFESSIONNELLES;Ville de Grasse;ERIC LES ASPRES;Centre commercial des Fleurs de Grasse, 64 Route de Cannes ;06130;Grasse;L’emploi et insertion professionnelle;Tel: 04 93 42 01 24 Mail: eric.lesaspres@ville-grasse.fr;"Mise à disposition d’ordinateurs et d’Internet pour faciliter l’accès à l’emploi. 
- Accompagnement individuel pour l’inscription en ligne sur le site Pôle Emploi
- Création et initiation à l’utilisation de boite mail
- Utilisation du portail Pôle Emploi : 
Mise en ligne du CV, abonnement aux offres d’emploi, télé-candidatures…
- Création de CV et lettre de motivation
- Création compte personnel de formation
- Ateliers mensuels « Utiliser Pôle-emploi.fr » Co-animé avec un conseiller Pôle Emploi
";"• Méthode :
- Être à l’écoute, disponible et s’adapter auxbesoins du public. 
• Technique :
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne spécialisées : pole-emploi.fr, emploi Store, Doyoubuzz, site d’offres d’emploi, réseaux sociaux professionnels… 
";"• Accompagnement individuel et collectif 
• Ateliers collectifs en partenariat avec l’agence Pôle Emploi Grasse
• Manifestations :Forum de l’emploi, Bougeons l’Emploi
";• Demandeurs d’emploi, bénéficiaires du RSA;
ADMINISTRATION EN LIGNE;Ville de Grasse;ERIC LES ASPRES;Centre commercial des Fleurs de Grasse, 64 Route de Cannes ;06130;Grasse;Accompagnement individuel dans les démarches administratives via le numérique et l’élaboration de dossier.;Tel: 04 93 42 01 24 Mail: eric.lesaspres@ville-grasse.fr;"Demande de prestations, d’attestation, actualisation, déclarations de ressources : CAF, Retraite, prime d’activité, CMU, RSA, Impôts, Améli, Cartes grises et immatriculation, était civil,  etc.)
- Expliquer le fonctionnement du site, créer des comptes, des adresses mails, imprimer les dossiers de demande de prestation... 
Accompagnement jeunes : dossier de bourse, logement, rapport de stage
";"• Méthode : 
- Être à l’écoute, disponible et s’adapter au public afin de répondre au mieux à ses besoins
• Technique : 
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne
";• Accompagnement individuel;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Ville de Grasse;ERIC LES ASPRES;Centre commercial des Fleurs de Grasse, 64 Route de Cannes ;06130;Grasse;Les parcours d’initiation à l’informatique ;Tel: 04 93 42 01 24 Mail: eric.lesaspres@ville-grasse.fr;"• La découverte de l’outil informatique
• L’apprivoisement du vocabulaire spécifique au numérique
• L’adoption d’attitudes responsables en termes de sécurité informatique et protection des données personnelles
• Une sensibilisation aux logiciels Libres
";"• Méthode : 
- Être à l’écoute et s’adapter au public. 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Analyser et identifier des besoins
- Concevoir des séquences pédagogiques
- Encourager la collaboration et favoriser les échanges
• Outils :
- Exercices
- Ressources en ligne
- Création de supports pédagogiques
";"• Activités collectives et stages de loisirs 
• Accompagnement individuel dans certains cas
";• Tout public en demande d’apprentissage;
ART, CULTURE ET PATRIMOINE;Ville de Grasse;ERIC LES ASPRES;Centre commercial des Fleurs de Grasse, 64 Route de Cannes ;06130;Grasse; Activités éducatives et culturelles valorisant l’acquisition de culture numérique;Tel: 04 93 42 01 24 Mail: eric.lesaspres@ville-grasse.fr;"Ateliers code ludique et informatique créative avec Scratch 
- Activités « débranchées » : initiation à la notion d’algorithme, séquence de programmation et l’écriture binaire
- Activités créatives  Pixel ‘art
- Éveiller la curiosité autour des sciences : découverte de sites dédiés, universscience.tv et animations pédagogiques « l’aventure des Sépas »
- La sensibilisation aux risques liés à l’utilisation de l’Internet et des réseaux sociaux 
- Utilisation du moteur de recherche Qwant Junior
- Discussions, échanges pour éduquer à un usage responsable des outils numériques  
- Découvrir et jouer à Sonic, Mario, MineCraft etc. à partir de séquences de programmation Scratch réalisées par d’autres et mis en partage (Via site officiel)
";"• Méthode : 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Concevoir des séquences pédagogiques et des fiches d’aide à l’autonomie
- Encourager la collaboration et favoriser les échanges
• Outils :
- Ressources en ligne prévention : Vinz et Lou, CNIL junior, jeu incollables 
- Logiciel Scratch et création de fiches pédagogiques
- Activités débranchées : Création d’un plateau pour Le jeu du robot (Ressource INRIA) - Création de 5 cartes binaires pour l’initiation à l’écriture binaire (Ressource : support pédagogique csunplugged.org)
- Programmation et code ludique : magicmakers.fr – Scratch site officiel – Exercices interactifs sur 1, 2, 3 codez ! et studio.code.org
- Qwant Junior
";"• Activités collectives et stages de loisirs (temps périscolaire et vacances) 
• Activité individuelle
• Manifestations : Fêtes de quartier, Science Tour Numérique etc. ";·     Scolaires;
;Ville de Grasse;ERIC LES ASPRES;Centre commercial des Fleurs de Grasse, 64 Route de Cannes ;06130;Grasse;Acculturation et handicap;Tel: 04 93 42 01 24 Mail: eric.lesaspres@ville-grasse.fr;;;;;
INSERTION ET FORMATIONS PROFESSIONNELLES;Ville de Grasse;ERIC Saint Claude ;1, chemin des Gardes ;06130;Grasse;Emploi et insertion professionnelle;Tel: 04 93 77 86 12 Mail: eric.stclaude@ville-grasse.fr;"Mise à disposition d’ordinateurs et d’Internet pour faciliter l’accès à l’emploi. 
- Accompagnement individuel pour l’inscription en ligne sur le site Pôle Emploi
- Création et initiation à l’utilisation de boite mail
- Utilisation du portail Pôle Emploi : 
Mise en ligne du CV, abonnement aux offres d’emploi, télé-candidatures…
- Création de CV et lettre de motivation
- Création compte personnel de formation
- Ateliers mensuels « Utiliser Pôle-emploi.fr » Co-animé avec un conseiller Pôle Emploi
";"• Méthode :
- Être à l’écoute, disponible et s’adapter auxbesoins du public. 
• Technique :
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne spécialisées : pole-emploi.fr, emploi Store, Doyoubuzz, site d’offres d’emploi, réseaux sociaux professionnels… 
";"• Accompagnement individuel 
• Ateliers collectifs en partenariat avec l’agence Pôle Emploi Grasse
• Manifestations :Forum de l’emploi, Bougeons l’Emploi";Demandeurs d’emploi, bénéficiaires du RSA, étudiants;
ADMINISTRATION EN LIGNE;Ville de Grasse;ERIC Saint Claude ;1, chemin des Gardes ;06130;Grasse;Accompagnement individuel dans les démarches administratives via le numérique et l’élaboration de dossier.;Tel: 04 93 77 86 12 Mail: eric.stclaude@ville-grasse.fr;"Demande de prestations, d’attestation, actualisation, déclarations de ressources : CAF, Retraite, prime d’activité, CMU, RSA, Impôts, Améli, Cartes grises et immatriculation, était civil,  etc.)
- Expliquer le fonctionnement du site, créer des comptes, des adresses mails, imprimer les dossiers de demande de prestation... 
";"• Méthode : 
- Être à l’écoute, disponible et s’adapter au public afin de répondre au mieux à ses besoins
• Technique : 
- Analyser et identifier des besoins
• Outils :
- Ressources en ligne
"; Accompagnement individuel;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Ville de Grasse;ERIC Saint Claude ;1, chemin des Gardes ;06130;Grasse;Parcours d’initiation à l’informatique ;Tel: 04 93 77 86 12 Mail: eric.stclaude@ville-grasse.fr;"• La découverte de l’outil informatique
• L’apprivoisement du vocabulaire spécifique au numérique
• L’adoption d’attitudes responsables en termes de sécurité informatique et protection des données personnelles
• Une sensibilisation aux logiciels Libres
";"• Méthode : 
- Être à l’écoute et s’adapter au public. 
- Moduler et proposer diverses formules pédagogiques : expositives, démonstratives, actives.   
• Technique : 
- Analyser et identifier des besoins
- Concevoir des séquences pédagogiques
- Encourager la collaboration et favoriser les échanges
• Outils :
- Exercices
- Ressources en ligne
- Création de supports pédagogiques
";"• Activités collectives et stages de loisirs 
• Accompagnement individuel dans certains cas
";• Tout public en demande d’apprentissage;
INSERTION ET FORMATIONS PROFESSIONNELLES;Les Petits Débrouillards PACA;"Observatoire Océanologique
Local OAO/Boussole";181, Chemin du Lazaret;06234;Villefranche-sur-Mer;Class Code, maitriser la pensée informatique pour mieux la transmettre;"Tel: 06.21.64.79.84
Mail: s.tolosa@lespetitsdebrouillards.org
";Class´Code propose un programme de formation gratuit à destination de toutes personnes désireuses d’initier les jeunes de 8 à 14 ans à la pensée informatique. Le programme comprendra de 1 à 5 modules de formation en ligne d’une dizaine d’heures chacun, couplé à des temps de rencontre présentielle pour partager, expérimenter et échanger entre apprenants.;Au travers d’une pratique concrète de la programmation et d’activités débranchées, comprendre les concepts clés de l’informatique et les enjeux de société qui y sont liés pour être en capacité d’animer des ateliers sur ces sujets dès le premier module. ;"La formation se fait :
– en ligne, pour acquérir un savoir-faire concret (apprentissage par la pratique) et partager des savoirs.
– lors de temps de rencontre* pour tester les activités avant de les proposer aux jeunes, bénéficier de temps d’échanges avec des professionnels de l’éducation et de l’informatique, rester en lien ensuite pour être accompagné.
";"Professionels de l'enseignement, de la formation, de la médiation numérique, parents, tout curieux… 
Les contenus pédagogiques sur lesquels vous serez formés à animer sont destinés quant à eux à des enfants de 8 à 14 ans. 
";
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;"Observatoire Océanologique
Local OAO/Boussole";181, Chemin du Lazaret;06234;Villefranche-sur-Mer;Le Science Tour du Numérique;"Tel: 06.21.64.79.84
Mail: s.tolosa@lespetitsdebrouillards.org
";Le Science Tour est un dispositif de mobilisation et de mise en avant des acteurs de la médiation numérique. Partant de l’idée d’un Fablab itinérant, il permet la création d’espaces d’échanges, de débat, d’expérimentations et de questionnements en tout lieu et surtout là où on ne l’attend pas ! ;"La démarche des Petits Débrouillards est basée sur l’expérimentation afin de développer un regard curieux et informé sur le monde qui nous entoure. 

Une mise en scène ludique et des constructions simples et sans danger, à partir de matériel courant et peu coûteux, favorisent la participation active des publics. 

En animation, les participants réalisent des expériences, observent, discutent, se posent des questions, construisent des réponses, se posent d’autres questions, réalisent des projets et apprennent à apprendre tout en s’amusant.
";format événementiel et festif;Les publics privilégiés seront les jeunes ayant difficilement accès à l’offre de culture scientifique et numérique. Le projet vise prioritairement des interventions en semaine au sein de structures sociales et d’établissements scolaires situés en quartiers difficiles ou en zone rurale. Le science tour sera proposé au grand public les week-ends et mercredis. ;
ACCULTURATION ET EDUCATION;Accès Informatique et Multimédia ;Maison Vie Associative,;Le Ligourès, place Romée de Villeneuve,;13090;Aix en Provence;Ateliers informatiques et multimédias;Tel : 09 80 47 72 01 Mail : acces-informatique@live.fr ;1ers pas, Internet, organiser ses fichiers, bureautique, photos, vidéos, réseaux sociaux;Ordinateurs, tablettes , smartphones ;Séances collectives (4 à 6 personnes), par niveau, par thème;Tout public.;
ACCULTURATION ET EDUCATION;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Cycle premiers pas informatique et internet;04 42 27 25 95  maison.numerique@gmail.com;Le couteau-suisse des débutants. En cinq séances, découvrez l'ordinateur, le système d'exploitation, la navigation internet, les courriels tout en équipant votre ordinateur de logiciels simples et performants.;Atelier en groupe jusqu'à 15 personnes, ordinateurs à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets.;Activités et stage de loisirs;Tout public;
ACCULTURATION ET EDUCATION;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers écritures digitales;04 42 27 25 95  maison.numerique@gmail.com;Utiliser un traitement de texte, gérer un blog, écrire pour le web, mettre en page des photos... ;Atelier en groupe jusqu'à 15 personnes, ordinateurs à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets.;Activités et stage de loisirs;Tout public;
ACCULTURATION ET EDUCATION;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers Infographies;04 42 27 25 95  maison.numerique@gmail.com;Retoucher des photos, réaliser un photomontage.;Atelier en groupe jusqu'à 15 personnes, ordinateurs à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets.;Activités et stage de loisirs;Tout public;
ACCULTURATION ET EDUCATION;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers Cultures numériques;04 42 27 25 95  maison.numerique@gmail.com;Le numérique imprègne et transforme l'ensemble de notre société. Au delà de la maitrise des outils, il faut aujourd'hui être en mesure de comprendre les enjeux et pratiques du numérique et d'acquérir une véritable culture numérique. 1 thématique par atelier, le débat reste ouvert au cours des ateliers.;Atelier en groupe jusqu'à 15 personnes, ordinateurs à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets et débat.;Activités et stage de loisirs - débat;Tout public;
ACCULTURATION ET EDUCATION;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Tournoi de jeux vidéo;04 42 64 59 75 coordnum@anonymal.tv;Tournoi de jeux vidéo;6 consoles de jeux, 5 ordinateurs, 2 Vidéoprojecteurs, 4 télés, 1 imprimante 3D, 1 exposition, 1 stand de prévention;Manifestation;Tout public, public jeune, associations.;
ACCULTURATION ET EDUCATION;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;Arbonnautes ;04 91 60 06 97  f.arborescence@gmail.com;Usages socio-e?ducatifs des jeux vide?o. ;Pratiques des jeux vide?o–sensibilisation aux risques.  PC –Tablettes ;Ateliers collectifs. Stages cre?atifs ;Jeunes de 11 a? 17ans ;
ACCULTURATION ET EDUCATION;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;CartableNet ;04 91 60 06 97  f.arborescence@gmail.com;Aides aux devoirs;Utiliser les outils nume?riques pour une aide me?thodologique, PC –Tablettes ;Ateliers collectifs. Stages cre?atifs ;Jeunes de 11 a? 17ans ;
ACCULTURATION ET EDUCATION;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;De?couverte ;04 91 60 06 97  f.arborescence@gmail.com;Initiation aux pratiques de base des outils nume?riques;Animation par me?diateur nume?rique. PC ;Ateliers collectifs hebdomadaires ;Tout public grand de?butant ;
ACCULTURATION ET EDUCATION;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;TicTac;04 91 60 06 97  f.arborescence@gmail.com;Atelier du temps libre, apprentissage, logiciels – De?bat: the?matique au choix du groupe ;Animation par me?diateur nume?rique PC -tablette et smartphone ;Ateliers collectifs hebdomadaires ;Public senior en priorite? ;
ACCULTURATION ET EDUCATION;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;ERIC Services: Pass numérique;04 91 60 06 97  f.arborescence@gmail.com;Apprendre a ?utiliser tablette et smartphones ou sous androi?d ;Animation par me?diateur nume?rique PC -tablette et smartphone ;Ateliers collectifs hebdomadaires ;Tout public ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Initiation au codage logiciel ;jquenel@fuvlab.org ;Apprentissage de l'algorythmie et du codage javascript. ;Ateliers cre?atifs de mise en pratique, Outils d'apprentissage du code ;Activite? ;Adulte, Ados a? partir de 13 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Initiation a? l'e?lectronique avec Arduino ;sdecaro@fuvlab.org ;Initiation a? l'e?lectronique avec les cartes Arduino / Nucleo. ;Mini-ateliers de de?couverte d’une carte micro- contro?leur Arduino ou Nucle?o, Environnement de de?veloppement inte?gre? pour le code, prototypage e?lectronique. ;Activite? ;Adulte, Ados a? partir de 13 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Initiation au moteur de jeu Unity 3D ;jpcarmona@fuvlab.org ;Atelier d’initiation au moteur de jeux vide?o Unity3D au travers de la re?alisationd'un de?but de jeux 3D : cre?ation de sce?ne 3D, de script C#, de prefab... ;Unity 5 ;Activite? ;Adulte, Ados a? partir de 13 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Ateliers Code4Kids ;jquenel@fuvlab.org ;Apprentissage de l'algorythmie et du codage javascript. Apprentissage de la mode?lisation et de l'impression 3D Initiation a? l'e?lectronique avec les cartes Arduino / Nucleo. ;Ateliers cre?atifs de mise en pratique, Outils d'apprentissage du code, Outils de modelisation 3D, Imprimantes 3D ;Activite? ;Enfants (de 6 a? 12 ans) ;
ACCULTURATION ET EDUCATION;CatchU;Anticafe? ;27 rue Granet;13100;Aix en Provence;De?couverte du code a? l'Anticafe? d’Aix en Provence ;jquenel@fuvlab.org ;Apprentissage de l'algorythmie et du codage javascript.;Ateliers cre?atifs de mise en pratique, Outils d'apprentissage du code ;Activite? ;Deux groupes : Adulte, Ados a? partir de 13 ans / Enfants a? partir de 7 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;« Multi-sports - Petit-Geek » ;jpcarmona@fuvlab.org ;Acculturation nume?rique. Apporter aux enfants la compe?tence technique la plus utile a? l'utilisation et a? la cre?ation avec le nume?rique : le codage logiciel. Concevoir des objets en 3 dimensions ;Ateliers cre?atifs de mise en pratique, Outils d'apprentissage du code, Outils de modelisation 3D, Imprimantes 3D ;Stage de loisirs ;Enfants de 7 a? 13 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;« Petit-Geek » ;jquenel@fuvlab.org ;Apprentissage de l'algorythmie et, a? partir de 10 ans, du codage javascript. Apprentissage de la mode?lisation et de l'impression 3D Initiation a? l'e?lectronique avec les cartes Arduino / Nucleo. Initiation a? l'e?lectronique avec les cartes Arduino / Nucleo. ;Ateliers cre?atifs de mise en pratique, Outils d'apprentissage du code, Outils de modelisation 3D, Imprimantes 3D,Carte et IDE Arduino, prototypage e?lectronique;Stage de loisirs ;Enfants et Ados a? partir de 7 ans ;
ACCULTURATION ET EDUCATION;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Intitation;jpcarmona@fuvlab.org ;"De?couverte du codage informatique et de la 3D, De?couverte des cartes e?lectronique makeys makeys, de l’arduino,
De?couverte de la musique e?lectronique";"De?monstration et initiation
Outils d'apprentissage du code Makey-makey, Arduino, Raspeberry PI PureData, LMMS,";Activite? ;Enfants, ados, adultes a? partir de 6 ans ;
ACCULTURATION ET EDUCATION;CRIJPA Centre Régional Information Jeunesse;;96 La Canebière;13001;Marseille;Un @venir plus net;Tel: 04 91 24 33 50 Mail: crijpa@crijpa.fr; Apprentissage des bases de l'informatique, sur la recherche d'emploi en ligne, en France ou à l'étranger, sur l'orientation et la découverte des métiers, sur la prévention des risques sur les réseaux sociaux ;Ordinateurs connectés en libre accès, Wifi grand public, Espaces de travail partagés équipés, Outils vidéos,;  Ateliers multimédias;tout public, jeunes , groupes de jeunes, professionnels de l'information Jeunesse ;
ACCULTURATION ET EDUCATION;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Ateliers 1ers clics;Tel: 04 42 27 32 96 Mail: caraye@cscjeanpaulcoste.com;"Ateliers d’initiation aux usages numériques.
La programmation est réalisée sur l’année scolaire et est évolutive afin d’amener le participant à une progression en autonomie.  
";"Outils utilisés : en fonction du programme : ordinateurs, logiciels bureautiques, internet, applications, tablettes, appareils photos, imprimante 3D
Techniques : apprentissage pédagogique, théorique et appropriation des outils numériques 
";Activite? ;Tout public;
